,poblacion_pct,area_km2
0,4.141,3.243
1,1.11,1.876
2,4.093,4.133
3,5.357,3.639
4,0.451,0.238
5,2.115,3.729
6,0.508,0.342
7,1.828,0.869
8,0.639,0.547
9,0.992,1.367
10,3.253,2.647
11,2.416,1.575
12,2.238,1.418
13,2.777,4.545
14,2.527,5.365
15,1.956,2.132
16,1.351,1.129
17,7.006,5.179
18,0.987,0.748
19,2.391,2.798
20,1.921,4.2
21,1.14,0.821
22,7.917,4.92
23,0.711,1.825
24,0.375,0.938
25,1.617,2.744
26,1.952,4.046
27,0.813,0.773
28,5.406,8.606
29,0.536,2.434
30,0.6,2.883
31,2.062,2.901
32,1.131,6.013
33,4.901,5.645
34,0.855,4.424
35,1.368,2.714
36,0.645,1.651
37,5.124,6.394
38,1.415,2.516
39,0.123,4.923
40,0.411,0.825
41,0.806,3.31
42,4.603,4.504
43,2.352,4.042
44,2.665,3.77
45,0.417,8.657
